estacion_servicio,regular,premium,diesel
10346,20.98,22.98,
10489,20.3,,
10489,,22.9,
10568,,,21.54
10568,20.39,22.6,
10593,16.05,,
10593,,,20.89
10355,20.29,22.05,21.7
10675,,23.69,
10675,20.19,,
3137,20.29,22.6,21.69
10711,19.95,,
10711,,,21.79
10711,,23.1,
10382,19.95,,
10382,,,21.79
10382,,23.1,
10295,19.45,,20.75
10295,,21.29,
10359,19.79,,
10359,,21.95,
10604,19.89,,
10604,,19.57,
10351,19.95,22.35,
10784,21.26,,23.26
10478,20.49,,
10478,,22.69,
10461,19.41,,20.87
10461,,21.5,
10722,21.22,,23.22
3019,20.54,,21.94
10727,21.2,22.3,22.59
10621,19.45,,20.49
10621,,21.25,
10282,21.29,23.29,23.39
10386,20.4,,22.09
10756,,,19.99
10756,19.8,,
10756,,22.65,
10770,19.55,21.85,
10422,21.5,,23.4
10401,18.88,21.48,
10539,19.8,,21.5
10539,,21.8,
10343,20.17,21.2,20.91
3047,,21.49,
3047,19.98,,
3047,,,21.13
10267,20.01,22.3,21.5
10530,19.45,21.49,
10530,,,20.8
10518,19.99,21.99,21.49
10495,19.99,,
10495,,22.28,20.29
10447,19.45,21.49,
10680,,22.75,21.76
10680,20.95,,
10274,20.94,22.7,21.84
10429,19.35,,
10429,,,20.9
10429,,21.85,
10708,20.88,22.36,22.26
10486,19.74,22.27,
2754,20.58,22.69,21.78
10553,20.12,21.68,21.81
10610,19.98,22.69,21.19
10475,,,20.39
10475,19.33,21.35,
10737,17.25,18.29,18.99
10365,,21.3,21.13
10365,19.99,,
10726,19.99,,
10726,,20.99,
10452,19.65,21.65,
10647,20.99,23.69,
10394,16.35,18.99,
10638,,,22.45
10638,,22.95,
10638,21.95,,
2915,18.69,,
2915,,21.35,
10602,20.98,22.78,21.88
10517,17.57,,20.98
10650,20.79,22.49,21.69
10492,19.2,21.35,
10358,21.9,23.2,
10480,21.36,23.09,22.42
10556,20.39,,20.47
10628,18.66,21.29,20.19
10590,17.15,,18.99
10578,21.9,23.2,
2967,20.49,22.29,22.19
10577,18.98,,20.98
10709,20.39,,20.47
10709,,21.5,
10718,15.99,17.45,20.99
10630,16.99,,20.89
10535,16.79,17.45,
10697,16.75,17.45,20.89
10510,16.15,17.45,21.39
10637,19.89,22.49,21.75
10453,17.15,,18.99
10721,16.99,,
10721,,,20.89
2766,21.14,,21.99
2766,,22.99,
10643,16.99,,
10643,,,20.89
10758,16.99,,
10758,,,20.89
10432,20.48,22.75,21.88
10561,16.38,18.99,
10376,19.99,22.29,21.3
10444,16.99,17.45,20.99
10458,16.49,17.45,20.99
10344,15.99,,20.99
10606,16.79,17.45,
10443,19.5,,
10443,,21.75,21.1
2875,21.14,,21.99
2875,,22.99,
10484,,,23.29
10484,22.09,23.29,
10583,19.99,21.99,
10754,,,21.3
10754,19.99,21.99,
10283,20.09,22.19,
10664,19.65,21.79,
10600,20.17,22.69,21.46
10759,22.6,24.45,23.9
10771,20.23,,
10771,,,22.07
10771,,22.56,
10385,15.59,18.39,20.4
10311,,,22.89
10311,21.39,22.89,
2829,,23.99,
2829,20.09,,
10611,20.79,22.98,22.88
10441,,22.3,
10393,,22.3,21.5
10383,,22.3,21.5
10696,20.89,22.99,21.89
10789,20.2,,
10789,,,21.85
10427,19.99,22.4,21.32
10634,20.25,21.79,20.96
10572,,22.28,
10572,21.1,,21.15
10659,19.99,,
10659,,22.33,
2783,21.49,22.49,23.19
10381,19.8,,
10381,,,
10778,21.4,,22.87
10363,21.99,23.99,21.94
10499,20.42,,
10521,21.9,23.2,
10594,21.9,23.2,
10635,21.9,23.2,
10468,21.9,23.2,22.85
10451,20.98,,21.88
10469,18.67,,
10469,,,20.29
10469,,21.99,
3138,21.55,,22.55
3138,,22.99,
10528,20.75,22.99,21.85
10791,20.3,21.84,21.84
10349,20.75,22.99,21.85
10613,18.93,,
10613,,20.95,
10669,21.15,21.95,
10457,16.99,,
10735,22.35,23.09,23.29
10618,19.9,22.4,
10654,21.08,,
10654,,22.13,
10595,21.15,21.95,
2755,19.84,,
2755,,22.09,21.09
10473,18.9,,
10473,,20.55,
10473,,,16.49
10471,20.2,22.15,21.6
10338,20.46,22.78,21.99
10609,,,19.45
10609,18.69,,
10609,,20.7,
10626,20.99,22.69,22.65
10541,20.99,22.99,22.29
10750,20.5,23.36,20.5
10631,19.89,,
10631,,22.99,
10631,,,21.99
10786,,,22.63
10786,21.06,,
10786,,22.72,
10576,19.19,,
10576,,21.19,20.25
2984,20.19,22.69,21.69
10676,20.5,22.9,
10704,,,23.25
10704,,22.89,
10704,21.59,,
10677,19.35,,
10677,,21.35,
10542,19.35,,
10542,,21.39,
10542,,,20.89
10689,19.08,21.54,
10511,19.49,21.99,
10563,21.5,23.7,
10684,19.58,21.79,20.69
10785,19.93,21.98,
10312,20.85,,21.58
3041,20.54,22.89,21.74
10288,21.5,23.7,
10336,20.83,22.34,
10538,19.87,,
10538,,22.69,
10730,21.19,,
10730,,,22.19
10581,19.78,,20.88
10690,18.55,,
10423,21.18,,
10423,,22.39,
10390,19.75,,20.55
10418,14.88,16.08,
10445,20.4,,21.5
10445,,,
2778,,,21.79
2778,20.29,,
2778,,22.99,
10291,21.1,22.3,21.4
10479,,20.2,20.4
10413,21.19,22.83,22.75
10398,21.19,22.83,22.75
10666,21.13,22.78,22.69
10649,20.89,22.44,22.39
10294,20.44,22.45,
10294,,,21.95
10372,20.39,21.83,21.78
10552,20.74,22.99,
10575,18.78,20.1,20.79
2821,,,21.79
2821,20.49,,
2821,,22.69,
10584,20.94,22.7,21.84
10289,22.2,23.75,23.6
10692,20.45,22.49,
10607,20.45,22.49,
10780,19.15,,
10780,,,20.99
10780,,21.45,
10715,21.99,23.99,21.94
10300,,23.29,
10300,20.99,,
10766,19.93,,
10766,,22.99,
10699,20.69,,
10699,,22.29,
10400,18.79,,
10400,,21.39,
10400,,,20.26
2838,21.28,,
2838,,23.38,
10334,21.08,22.58,22.48
10419,19.99,21.75,21.79
10710,20.99,,
10710,,,17.15
10370,19.98,,
10370,,22.78,
10536,20.09,21.99,21.29
10371,18.99,,
10371,,,20.99
10371,,21.69,
10768,,,23.28
10768,,23.99,
10768,22.2,,
10397,16.95,17.59,19.55
10716,19.89,21.89,20.99
10682,19.99,21.99,
2895,,,21.38
2895,20.1,,
10428,21.35,,22.45
10761,23.35,,
10761,,,
10327,21.4,,
10327,,23.74,
10327,,,22.26
10392,21.04,24.38,22.39
10501,18.99,21.99,
10555,18.99,21.49,
10315,19.99,21.99,
10599,20.79,22.69,
10599,,,21.99
10724,19.9,21.9,21.34
10653,19.29,21.49,
10653,,,20.59
2782,20.69,,
2782,,22.89,
2782,,,21.99
10782,14.89,,
10782,,14.59,
10782,,,18.99
10632,19.19,,
10632,,,20.75
10632,,21.45,
10323,17.99,,
10323,,20.69,
10442,21.79,23.99,21.94
10462,20.45,,
10462,,,21.48
10467,19.39,21.39,
10776,15.35,17.96,
10751,,17.39,19.5
10751,16.39,,
10674,18.95,20.67,20.65
10302,19.59,21.99,
10302,,,20.26
2975,20.68,22.71,22.05
10396,18.49,,
10396,,20.79,
10407,19.27,21.27,
10407,,,19.67
10620,,21.96,19.85
10620,19.88,,
10670,19.59,21.99,
10629,16.99,20.19,21.29
10741,19.89,,20.89
10436,18.89,21.19,
10313,,21.39,
10313,19.59,,
10301,17.99,19.99,
10301,,,20.26
10304,20.5,,
10304,,22.13,
10304,,,21.8
2882,16.89,,
2882,,18.99,20.69
10318,19.83,21.58,
10476,20.5,,
10476,,22.7,
10476,,,21.85
10558,,21.09,
10558,19.29,,
10558,,,20.99
10266,20.8,,
10266,,,22.3
10266,,22.49,
10673,20.85,22.69,21.9
10261,21.18,22.71,22.29
10269,21.42,22.86,22.38
10543,20.79,23.69,21.69
10352,18.9,21.5,20.9
10644,19.39,21.39,
10644,,,20.19
2988,19.77,21.39,20.77
10739,,23.45,
10739,,,22.09
10739,19.19,,
10515,,23.1,
10515,20.75,,21.75
10772,,22.49,21.59
10772,19.99,,
10591,20.59,,
10591,,,21.29
10591,,22.99,
10622,20.95,,
10622,,23.3,
10622,,,22.6
10368,19.52,19.82,21.15
10503,19.59,,
10503,,22.3,
10503,,,18.89
10310,20.39,22.99,21.89
10524,19.96,,22.14
10433,19.89,,21.29
2907,15.29,,
10688,19.9,,21.58
10472,20.99,22.99,
10331,21.6,22.95,
10713,20.16,21.95,21.6
10777,21.89,23.28,23.54
10548,19.8,21.95,20.85
10557,19.69,22.08,
10557,,,21.44
10448,19.99,22.45,21.93
10497,20.55,,
10497,,21.88,
10497,,,21.55
10464,19.99,22.45,21.93
2872,22.15,23.25,23.35
10421,22.5,23.35,23.5
10485,19.95,22.1,21.1
10362,18.99,22.2,
10465,,22.3,
10465,,,21.9
10465,20.5,,
10657,19.44,21.56,
10765,19.44,21.56,20.87
10270,20.49,,
10270,,22.34,21.89
10550,19.35,,
10550,,21.55,20.94
10597,19.27,21.46,20.85
10532,21.32,22.65,22.6
3013,19.99,,
3013,,,21.19
3013,,22.49,
10700,19.22,,20.95
10700,,21.56,
10292,18.77,,
10292,,,19.97
10292,,20.97,
10534,,,22.26
10534,21.29,22.6,
10601,15.75,,
10636,18.89,,
10636,,,19.89
10636,,21.09,
10277,19.61,21.35,21.11
10755,16.31,18.01,
10755,,,17.06
10612,20.3,,21.35
10298,19.29,21.49,
10298,,,20.4
10508,19.29,21.49,
2892,20.38,,21.99
2892,,22.31,
10454,19.29,21.49,
10454,,,18.39
10579,19.29,21.49,
10571,20.39,22.75,
10571,,,21.2
10668,19.69,,
10668,,,21.49
10668,,21.75,
10522,20.49,,
10522,,23.14,21.89
10551,19.92,,
10551,,,21.48
10551,,22.04,
10348,19.91,,
10348,,21.91,
10348,,,21.26
10707,,21.99,
10707,19.99,,
10679,,21.99,
10679,21.1,,
10562,21.1,,22.1
2928,21.65,,
2928,,,22.99
2928,,23.75,
10787,20.2,22.95,21.9
10440,21.64,22.89,21.64
10733,20.22,,21.95
10733,,22.16,
10705,,,19.99
10705,20.2,,
10705,,21.99,
10633,19.74,21.77,21.17
10760,15.69,,
10760,,17.99,
10285,18.99,,
10285,,21.99,
10734,,23.19,
10734,20.49,,
10734,,,21.89
10616,19.16,21.08,20.75
10264,19.65,21.9,
3042,20.93,22.42,21.11
10416,,,21.69
10416,19.99,23.19,
10712,20.1,,
10276,18.65,18.65,19.7
10314,20.1,22.3,21.5
10280,19.74,,20.48
10749,,,18.79
10384,18.99,21.19,20.49
10742,19.59,21.69,20.99
10531,18.97,21.2,20.99
10605,,21.99,
10605,19.99,,
10605,,,22.09
3133,21.58,23.24,23.01
10783,19.39,22.29,
10783,,,20.69
10587,21.06,22.56,22.66
10567,19.99,,21.85
10767,,22.48,
10767,,,22.28
10767,20.88,,
10661,20.35,,
10661,,,21.39
10661,,22.69,
10319,19.35,21.4,20.7
10406,19.48,21.7,
10775,20.7,,
10775,,22.6,
10775,,,22.19
10559,19.69,21.85,
10665,14.98,17.62,19.95
2929,21.69,23.69,
10773,19.99,,21.5
10745,19.59,,
10745,,,19.98
10745,,22.49,
10719,,22.29,
10719,,,21.99
10719,20.29,,
10598,20.67,,22.1
10573,,21.99,
10573,19.99,,
10573,,,21.75
10533,19.98,,
10533,,22.98,
10757,,21.99,
10757,19.99,,
10757,,,21.75
10615,20.95,,22.3
10574,20.35,22.15,
10574,,,21.79
10431,18.99,21.19,
2818,21.29,23.29,21.99
10272,,21.4,
10272,,,20.9
10272,19.5,,
10326,21.09,23.65,21.45
10347,18.99,21.19,20.49
10686,14.98,17.62,20.25
10297,21.6,,
10297,,,16.59
10788,19.89,21.69,
10685,20.99,22.89,21.59
10474,19.99,21.9,21.5
10720,19.99,,
10720,,21.99,
10290,,22.36,21.57
10290,19.99,,
2795,19.29,,
2795,,,20.99
2795,,22.99,
10678,20.7,20.69,21.97
10544,21.29,,21.99
10544,,23.29,
10303,20.29,21.95,21.95
10549,19.99,22.18,20.9
10512,19.98,22.39,21.59
10540,20.95,,22.5
10743,19.8,22.5,20.85
10375,19.55,21.55,21.49
10360,20.35,21.99,21.99
10652,20.35,21.99,21.99
2916,19.29,,
2916,,,20.99
2916,,22.99,
10687,19.5,21.79,20.8
10350,19.89,22.02,20.95
10655,20.99,,
10655,,22.99,22.29
10388,22.03,23.45,23.39
10714,22.03,23.45,23.39
10354,22.48,24.37,24.37
10341,19.87,22.19,21.76
10434,21.19,22.99,22.09
10491,16.68,,
10491,,19.28,21.69
10339,16.68,,
10339,,19.28,21.69
2791,20.49,,
2791,,23.85,
2791,,,22.39
10408,20.99,23.15,21.99
10364,16.68,,
10364,,19.28,21.69
10585,16.68,,
10585,,19.28,
10373,16.68,,
10373,,19.28,21.69
10308,,22.5,21.8
10435,20.89,,
10435,,22.99,
10435,,,22.29
10623,,23.09,
10623,21.14,,
10623,,,22.19
10265,19.93,,
10265,,,21.39
10265,,21.97,
10642,19.59,21.99,21.39
10519,,,21.29
10519,19.69,21.99,
3127,19.19,,
3127,,22.49,
3127,,,20.99
10660,19.29,,
10660,,22.29,
10660,,,21.25
10619,20.99,,21.19
10619,,22.39,
10328,19.99,21.65,21.59
10374,20.99,22.39,
10374,,,20.99
10525,20.79,22.39,20.19
10744,19.49,,
10744,,21.99,
10380,20.34,22.05,21.95
10477,20.75,23.16,22.75
