estacion_servicio,regular,premium,diesel
8794,19.89,,
8934,19.8,,
8934,,22.4,
9082,19.99,,
9082,,22.94,
9082,,,21.99
8624,19.99,,
8624,,22.94,
8624,,,21.99
9158,20.89,,
9158,,22.39,
9158,,,21.99
8623,20.39,,
8623,,22.39,
9084,20.6,22.25,22.15
2248,15.29,18.39,
8723,,22.99,
8723,20.49,,
9289,19.99,,
9289,,23.19,
9289,,,21.99
8914,20.52,22.25,22.25
9074,20.19,,
9074,,,20.44
9074,,23.49,
9162,19.39,21.39,
9162,,,20.26
9240,20.49,22.89,
9218,20.52,22.25,22.25
8744,19.99,,
8744,,23.19,
8744,,,22.64
8589,19.39,21.39,
8589,,,20.26
9210,19.7,21.55,21.35
2528,15.69,,
2528,,17.99,
8708,,,22.19
8708,20.13,,
8708,,22.94,
8751,,22.99,
8751,20.79,,
9089,,22.43,22.97
9089,21.15,,
8641,19.32,21.29,20.73
8903,20.65,22.55,22.25
8857,20.75,22.95,22.85
8584,19.39,,
8584,,21.29,
8584,,,20.99
9282,19.49,,
9282,,21.49,
9243,19.39,,
9243,,21.69,
9243,,,20.99
9261,20.4,,21.5
2419,19.98,,
2419,,,20.49
2419,,22.49,
8837,19.79,21.79,20.65
9102,,23.29,
9102,20.99,,
9136,,,22.3
9136,21.2,24.95,
9020,21.99,23.99,21.94
8945,16.69,,
8945,,,18.98
8945,,18.98,
9262,21.99,23.99,21.94
8968,21.99,23.99,21.94
8861,21.99,23.99,21.94
9241,21.09,23.99,21.94
9091,21.99,23.99,21.94
14536,19.99,22.45,20.39
8717,21.99,23.99,
8867,21.99,23.99,
9164,21.99,23.99,
8730,21.99,23.99,
8577,,23.99,21.94
8577,21.69,,
9155,21.99,23.99,
8562,,23.29,
8562,20.99,,
9083,21.99,23.99,
9149,21.99,23.99,21.94
9224,21.94,23.99,
2390,20.39,23.99,
9026,21.99,23.99,
8812,21.89,22.99,23.29
8659,21.99,23.99,
8901,,23.69,
8901,19.18,,
9110,21.99,23.99,21.94
9250,21.99,23.99,21.94
8862,20.79,,
8862,,22.49,22.39
8572,20.79,,
8572,,23.19,
8572,,,21.99
9093,15.34,17.64,
9159,16.79,20.19,
2091,19.45,21.49,
2091,,,20.8
8817,16.99,20.19,21.29
8872,15.34,17.64,
8615,19.89,21.99,
8588,20.19,21.59,
9127,,21.95,21.41
9127,19.99,,
8707,16.93,19.83,
9253,21.35,22.75,
9097,16.39,19.19,
8574,21.09,,
8574,,,21.99
8574,,22.99,
9085,20.39,21.69,
2517,20.3,,
2517,,,20.49
2517,,22.49,
9175,20.19,,
9175,,22.15,
8864,15.89,18.79,
8946,16.79,19.39,
8580,16.69,,
8580,,19.29,21.69
9187,16.69,,
9187,,19.29,21.69
9016,16.69,,
9016,,19.29,21.69
8815,16.69,,
8815,,19.29,20.99
8669,20.19,,
8669,,,21.39
8669,,22.15,
8720,21.77,23.17,23.27
8600,,,21.84
8600,21.29,,
2523,20.49,23.09,21.89
9231,21.99,23.99,21.94
8587,,23.25,
8587,20.99,,
8898,21.99,23.99,21.94
9058,,22.79,
9058,20.89,,
9058,,,21.99
8953,,22.39,21.99
8953,20.29,,
8693,,,22.45
8693,,23.1,
8693,20.99,,
9054,21.99,23.99,21.94
8726,,22.79,
8726,20.69,,
8726,,,21.99
8721,20.39,22.39,
8721,,,21.79
9271,16.68,,
9271,,19.28,
2199,21.09,22.99,22.24
8858,17.09,19.99,
9126,19.2,,
9126,,21.4,20.77
9202,20.79,23.49,21.69
8690,16.68,,
8690,,19.28,
9179,21.89,23.19,
8921,17.09,19.99,
8645,16.58,,
8645,,19.28,
9038,21.89,22.99,23.19
9076,19.99,,
9076,,21.85,
9076,,,21.49
9021,17.09,19.99,
2273,19.99,,
2273,,22.49,
8579,19.2,,
8579,,21.4,20.77
8807,21.09,,21.99
8807,,22.59,
9011,21.51,23.18,22.97
9047,16.68,,
9047,,19.28,
8710,20.99,22.49,
8986,19.99,21.59,21.29
8602,16.68,,
8602,,19.28,
9019,17.31,18.8,
9018,22.05,22.75,22.72
2328,20.19,22.69,21.09
9277,22.05,,
9277,,22.75,
8829,19.75,22.21,21.61
8962,21.15,,21.89
8853,20.99,,22.54
8853,,22.29,
9196,19.76,22.31,
8846,19.75,22.31,
8647,19.81,22.25,
8567,19.85,,20.85
8567,,21.99,
8703,,,21.38
8703,17.1,,
8703,,20.34,
8768,19.77,22.33,21.62
2365,19.79,22.69,20.65
8839,19.98,,
8839,,19.41,19.69
9233,21.69,22.19,22.29
9251,19.75,22.25,
9035,21.15,22.65,21.89
9225,15.29,18.39,
8724,19.29,,
8724,,21.49,21.19
8831,20.69,21.76,21.7
8866,20.75,22.75,
8610,19.85,21.63,
9266,20.91,,21.99
9266,,22.99,
2125,21.19,22.29,22.39
9206,21.17,21.97,22.17
8948,21.01,,22.1
8948,,22.73,
8760,21.1,22.25,
8632,20.55,,
8632,,,22.49
9139,20.78,,
9139,,23.29,
8799,20.78,,
8799,,23.29,
8821,20.78,,
8821,,23.29,
9120,20.99,22.49,
8788,20.99,22.49,22.54
9049,21.25,,
2452,20.3,,
2452,,,21.6
2452,,22.49,
8635,21.3,,23.1
8967,21.8,22.8,
8967,,,23.15
8606,20.99,22.49,22.54
9184,22.7,23.82,23.95
8676,20.5,22.9,
8759,18.36,18.4,19.57
8998,18.79,,
8998,,,19.49
8998,,22.29,
9132,22.15,23.25,23.35
9165,22.15,23.25,23.35
8746,,20.29,
8746,18.59,,
2231,20.75,22.35,22.45
8876,20.99,22.49,22.5
9198,20.68,22.69,
8830,19.1,21.6,21.3
8983,21.99,23.99,
8852,21.99,23.99,
9098,,22.99,
9098,20.99,,
8725,,22.99,
8725,20.99,,
8753,15.34,17.64,20.38
8916,21.99,23.99,21.94
9248,,22.25,22.25
9248,20.83,,
2259,15.79,,
2259,,17.99,
9280,21.99,23.99,
9201,22.6,24.45,23.9
8557,21.99,23.99,21.94
9230,20.79,,
9230,,22.39,22.49
8894,21.49,,
8955,21.49,22.79,22.89
8985,21.49,22.79,22.89
9013,20.49,21.89,
8660,21.34,,
8660,,,22.74
8660,,22.64,
9223,20.59,,
9223,,23.19,21.99
2427,15.69,,
2427,,17.99,
8771,,,18.79
8583,20.79,,
8583,,22.39,22.49
9040,19.99,21.29,21.8
8601,20.79,,
8601,,22.39,22.49
8885,16.99,20.19,21.29
8697,22.19,,23.35
8880,16.79,20.19,21.29
8608,16.99,20.19,
8569,18.69,,
8569,,,21.79
8569,,20.94,
8664,20.69,,
8664,,22.65,22.16
2123,20.89,23.19,21.99
9190,18.99,,
9190,,21.8,
9022,20.89,,
9022,,,22.09
9022,,23.19,
8912,,25.98,
8912,18.49,,
8912,,,18.8
8765,21.1,22.51,22.22
8671,20.59,,
8671,,23.19,
9256,,22.79,
9256,,,21.89
9256,20.59,,
8908,20.49,,
8908,,23.14,21.89
8980,19.99,22.77,22.9
8910,21.12,,21.79
8792,19.31,21.89,
2497,21.19,22.79,
2497,,,22.75
9267,20.5,,
9267,,21.75,21.9
9229,,,22.57
9229,19.83,,
9229,,22.35,
8551,19.89,,
8551,,,22.59
8551,,22.85,
8625,19.79,,
8625,,22.99,
8954,20.69,22.75,
9138,22.2,,
9272,21.09,,
9272,,,21.69
8619,19.91,,
8619,,,22.59
8619,,22.35,
9004,,23.09,
9004,20.99,,
8596,19.99,21.7,21.75
2395,15.59,18.39,20.4
9061,20.63,22.14,22.16
9043,21.22,,22.22
8887,19.89,22.54,21.11
8944,19.99,22.81,
9087,20.79,,
9087,,22.39,22.49
9252,19.21,20.92,20.59
8756,19.21,20.92,20.59
8971,16.49,17.88,20.89
9005,17.09,19.99,21.49
8973,16.99,,
8973,,,18.99
2197,20.99,,
2197,,,21.99
2197,,22.89,
8961,21.84,,22.39
9065,19.99,22.49,21.49
9032,15.87,17.59,
9032,,,16.47
8984,19.99,,
8984,,22.49,21.49
8678,20.19,22.59,21.59
8905,21.09,22.99,21.79
9073,19.99,,
9073,,,21.69
9073,,21.69,
9255,20.88,22.36,22.26
9024,21.49,23.89,
9133,16.99,20.49,
9133,,,20.99
2136,20.09,22.11,21.99
9247,,,19.99
9247,17.98,,
9247,,19.2,
8922,21.71,23.28,23.11
9151,21.71,23.28,
9100,21.71,23.28,
8918,21.71,23.28,23.11
8586,,23.89,
8586,,,22.99
8586,21.99,,
9003,19.9,,21.8
9157,20.99,,
9157,,,22.79
9157,,22.99,
8932,17.98,,
8932,,19.2,
9142,16.39,,
9142,,19.99,
2180,20.44,,21.79
2180,,22.49,
9090,,23.69,
9090,21.99,,
8591,20.69,22.39,22.59
8813,,23.09,
8813,21.49,,23.09
8977,20.6,22.95,22.25
8882,20.6,22.95,22.25
9254,19.09,20.9,
8668,20.99,,22.54
8668,,22.49,
8686,21.45,,
8686,,23.05,
9195,21.45,,
9195,,23.05,
9195,,,21.99
9055,,23.99,
9055,20.99,,
2415,20.25,21.55,
2415,,,21.15
8621,21.99,23.99,
9088,21.99,23.99,21.94
9279,21.99,23.99,21.94
9027,,23.25,
9027,20.99,,
8607,,23.25,
8607,,,22.15
8607,20.99,,
9107,,23.25,
9107,20.99,,
8556,,23.25,
8556,,,22.15
8556,20.99,,
9113,,23.25,
9113,,,22.15
9113,20.99,,
9178,20.59,23.59,
9244,21.09,23.09,
2320,,22.99,
2320,20.99,,
8890,19.99,22.83,21.95
8648,,23.99,
8648,20.24,,
9114,21.99,23.99,
9152,19.49,21.69,20.79
9150,21.99,23.99,
8706,21.99,23.99,21.94
8869,19.85,,21.08
8561,21.99,23.99,
9141,21.99,23.99,21.94
9192,21.99,23.99,21.94
2133,20.27,,
2133,,22.47,
9211,20.39,22.09,
8634,21.99,23.99,
9050,21.99,23.99,21.94
8662,21.99,23.99,21.94
9222,21.99,23.99,
8727,21.99,23.99,21.94
8604,,23.99,21.94
8604,21.19,,
8907,21.99,23.99,
9143,20.39,22.99,
8719,20.88,22.36,22.26
2218,,21.55,
2218,19.99,,21.55
8682,,23.99,21.94
8682,20.49,,
8911,16.91,18.66,
8620,,22.33,22.25
8620,20.69,,
8700,21.99,23.99,21.94
8832,20.37,22.17,21.59
8841,21.75,23.35,
9001,19.39,22.69,
9001,,,22.59
9014,19.99,,
9014,,,21.59
9014,,22.29,
8565,21.55,,
8565,,,22.84
9269,,,19.99
9269,17.99,,
2074,21.19,,22.19
2074,,22.89,
8947,,,22.7
8947,,22.95,
8947,20.9,,
8643,21.52,,
9119,16.49,,
9119,,17.79,
9119,,,21.39
8923,21.29,,
8923,,,22.49
8923,,23.09,
9028,21.35,22.99,
8888,16.39,17.7,
8825,19.99,22.39,
9037,,,23.79
9037,22.34,23.84,
8942,21.27,23.32,22.77
8687,19.99,22.85,21.47
2282,,22.79,
2282,,,22.49
2282,21.09,,
8850,20.69,,
8850,,22.89,21.85
8592,20.91,23.13,22.29
8733,,,
8816,15.99,,18.99
8982,19.69,21.79,
8609,16.99,20.19,21.29
8795,19.85,21.65,
9105,20.93,22.25,21.9
8805,20.68,22.78,21.85
9220,19.64,21.74,20.84
2426,,22.99,
2426,20.99,,21.99
9012,20.09,22.24,
8960,16.69,19.27,21.69
8785,20.64,,
8785,,23.19,
8785,,,21.9
8974,19.8,,
8974,,22.44,
8769,21.99,23.99,21.94
8640,19.79,,
8640,,21.89,
9146,,23.34,
9146,20.9,,
9146,,,22.12
8859,21.99,23.99,
9199,21.1,22.9,22.25
8677,20.2,22.57,21.58
2200,15.79,,
2200,,,20.49
2200,,17.99,
8663,,22.6,22.3
8692,20.5,,
8692,,21.99,
8692,,,20.25
8685,,22.5,22.5
8685,,,
8694,23.84,,24.83
8694,,24.9,
8738,,,22.15
8738,,22.85,
8738,20.75,,
8965,21.8,22.89,
8651,21.75,23.32,23.15
9145,,23.65,
9145,19.99,,
8899,21.64,23.39,22.6
9232,19.89,21.99,22.49
2041,15.79,,
2041,,17.99,
9270,21.69,23.65,
8597,20.89,22.39,
8661,20.89,22.39,22.49
8711,20.89,22.39,22.49
9172,20.39,,
9172,,22.59,
9209,20.89,22.39,22.49
8828,20.49,22.99,
8828,,,21.66
8568,20.79,23.65,
8568,,,22.19
8897,18.39,20.39,20.69
9080,20.89,22.39,
2474,20.49,,
2474,,22.99,
8679,20.19,22.09,
8895,20.98,22.5,22.54
9071,,22.99,
9071,19.99,,
9265,19.99,22.35,21.99
8689,20.89,23.65,
9124,18.89,,20.49
9124,,20.49,
8931,19.99,22.59,21.49
9095,21.14,22.45,
9156,20.98,22.89,22.32
9167,20.95,22.8,22.8
2291,20.25,22.25,
2291,,,21.79
9078,21.2,23.22,21.94
8892,19.79,21.99,21.49
8917,20.98,,22.32
8593,19.99,21.32,21.79
9170,21.09,22.45,
8559,,23.65,
8559,20.89,,
9173,18.99,21.28,20.38
9039,20.82,,
9039,,,22.76
9039,,23.19,
9290,,23.65,
9290,20.95,,22.09
8979,19.85,21.1,21.6
2193,19.99,,
2193,,,21.85
2193,,22.99,
9034,22.95,24.78,24.23
8590,20.89,23.19,21.99
8889,21.8,23.25,23.3
8655,,23.65,
8655,20.55,,22.15
9125,18.98,,
9125,,21.39,
8824,21.49,22.88,23.37
8716,21.5,24.5,23.5
9249,22.45,24.4,23.95
8691,19.69,21.99,21.49
8698,22.05,23.6,21.31
2059,21.09,22.99,22.24
9286,20.85,23.65,
9286,,,22.19
8940,22.4,,
9183,19.59,21.78,20.69
8614,21.29,23.29,21.99
8997,21.55,,
8997,,,22.84
8627,20.15,23.65,
8627,,,22.19
9008,19.3,22.1,20.8
8988,20.25,22.09,21.79
8594,22.85,,
8622,20.99,,
8622,,22.49,
2179,20.49,22.39,22.39
9042,20.99,,
9042,,,22.7
9042,,23.15,
8930,19.5,,20.75
8939,21.75,23.3,23.13
9221,,22.99,22.99
9221,20.99,,
9177,16.2,19.65,19.9
8695,21.69,22.99,23.19
8920,21.89,22.99,23.19
8884,19.99,21.5,
9072,16.75,19.2,21.1
8737,20.89,22.89,21.79
2076,20.15,,
2076,,21.99,
2076,,,21.99
8736,19.69,,20.99
8736,,21.85,
8555,18.99,21.29,
8683,,,21.69
8683,,23.19,
8683,19.99,,
8612,20.82,,
8612,,22.09,22.28
9147,20.49,,21.49
8854,,21.3,21.13
8854,19.99,,
9238,20.43,22.44,22.18
9122,19.49,21.49,
8732,16.69,,
8732,,19.29,
9081,20.67,21.69,
2297,20.31,22.39,21.98
8603,20.17,21.72,21.45
8740,20.14,21.99,21.99
9077,21.83,,
8989,21.83,23.69,22.9
8701,19.99,,
8701,,20.99,20.99
8755,19.87,21.69,21.55
8566,20.52,22.77,21.24
8781,21.09,,
8781,,23.65,
8781,,,22.39
9258,19.99,,
9258,,20.99,20.99
9135,20.99,22.39,
9135,,,21.99
2336,20.99,,
2336,,,21.99
2336,,22.89,
8847,20.89,23.39,22.19
9033,19.68,21.54,21.3
8576,,22.79,
8576,,,21.89
8576,19.99,,
8747,19.25,21.69,20.89
8714,21.9,,
8714,,,23.1
8656,20.99,22.99,
8873,,,23.22
8873,21.21,22.89,
8902,21.03,23.82,23.16
8552,21.8,23.87,23.61
8650,22.49,24.49,24.49
2488,19.45,21.49,
2488,,,20.8
8951,20.99,22.79,22.29
9067,,21.69,
9067,19.85,,
8924,22.7,24.24,
8924,,,23.84
9009,21.5,,22.8
8990,22.6,23.77,
8990,,,23.74
9207,22.25,23.25,22.85
9104,,,17.71
9104,,21.21,
9104,18.71,,
8966,,,17.71
8966,17.71,,
8966,,17.71,
8578,,21.71,19.21
8578,19.21,,
9168,,,19.21
9168,,21.71,
9168,19.21,,
2504,19.99,22.39,21.29
9053,16.68,,
9053,,19.28,21.69
9015,16.68,,
9015,,,21.69
8929,21.99,23.99,21.94
8925,20.59,23.59,21.94
8913,,,21.8
8913,20.5,21.8,
8705,20.7,22.1,22.03
8992,21.99,23.99,
9169,,21.55,
9169,,,21.35
8941,21.99,23.99,
9194,,22.99,
9194,20.99,,
2568,15.95,,
2568,,17.8,
8581,21.99,23.99,
9191,20.3,22.2,22.2
9096,21.36,22.59,
8848,21.23,22.62,22.45
9176,20.55,22.05,
9216,19.29,21.59,21.29
9017,,,21.49
9017,19.39,21.69,
8629,,23.65,
8629,19.99,,
8704,20.29,22.32,22.08
8728,19.99,21.99,21.35
2362,15.79,,
8780,,,22.19
8780,20.99,,
9275,21.55,23.25,
9275,,,22.85
8784,,22.46,
8784,20.97,,
8784,,,22.49
8636,21.19,22.99,22.19
9189,,22.99,
9189,19.79,,
9189,,,21.99
9117,,,21.6
9117,19.62,,
9117,,21.99,
9064,20.99,,
9064,,,22.05
8779,19.99,,
8779,,20.99,
9060,21.79,,22.79
8782,,22.81,22.89
8782,21.42,,
2542,,14.67,
8928,,,22.92
8928,21.42,,
8928,,19.66,
9129,,22.46,
9129,20.97,,
9129,,,22.52
9036,,23.39,
9036,20.99,,21.99
8964,21.19,,
8964,,,22.24
9031,20.69,,
9031,,,21.79
8699,,22.99,22.09
8699,20.99,,
8787,19.15,21.39,
8766,,23.65,
8766,21.59,,22.09
8865,,22.82,22.92
8865,21.42,,
9068,,,
2393,,,22.22
2393,20.8,22.57,
9000,19.77,21.75,21.55
8763,19.79,22.79,20.69
9010,21.09,22.85,22.25
8793,19.95,,21.22
8793,,22.45,
9166,20.25,23.65,
9044,21.09,22.85,22.25
9193,,22.99,21.89
9193,20.49,,
9219,19.67,,
9219,,22.79,
9264,19.6,,
9264,,,20.83
9264,,21.7,
8835,19.45,21.5,20.5
2413,15.99,,
2413,,18.29,
8855,,22.55,22.54
8855,20.99,,
9227,19.7,,
9227,,,21.55
9227,,21.9,
9030,,,22.2
8673,,,19.39
8673,19.19,,
8673,,23.19,
9235,21.69,23.65,
8599,,21.39,
8599,19.84,,21.35
8956,21.19,22.59,22.79
9130,20.3,,
9130,,,16.57
8798,19.35,20.75,
8798,,,18.7
9116,19.99,23.99,
2525,21.19,23.15,21.7
8626,20.59,23.29,
9094,19.99,,
9094,,20.99,20.99
8722,20.59,23.29,
8681,16.88,20.39,21.39
9092,21.58,23.78,22.72
8996,20.79,22.31,22.06
8800,20.89,23.19,21.99
9099,,22.49,
9099,19.99,,
8959,19.89,,21.49
8959,,21.59,
9006,,23.55,
9006,20.15,,
9006,,,21.99
2298,20.8,22.57,22.22
8823,19.99,23.99,21.99
9041,20.59,22.49,21.79
8991,21.09,23.05,22.52
8844,17.95,18.3,18.3
9213,19.15,21.15,
9148,19.99,,
9148,,20.99,
8745,,,22.15
8745,21.18,,
9112,19.87,,
9112,,,21.69
9112,,21.73,
8808,,23.65,
8808,20.95,,
8709,21.09,23.19,21.99
2563,20.65,22.99,21.89
8713,,22.85,
8713,,,21.69
8713,20.59,,
9144,20.99,22.25,
9144,,,19.55
8652,,22.25,
8652,21.15,,
8652,,,20.83
8758,19.99,,
8758,,20.99,
8573,,23.55,
8573,20.15,,
8573,,,21.99
8774,20.78,,
8774,,22.46,
8845,21.14,22.45,22.45
8554,,22.79,
8554,,,21.89
8554,19.99,,
8646,21.05,,
8646,,22.15,
9007,,23.39,
9007,21.89,,22.79
2227,20.99,,
2227,,,21.99
2227,,22.89,
8819,19.7,21.7,21.1
8834,19.99,22.79,22.89
8915,19.78,,
8915,,,17.27
9234,20.89,23.19,21.99
9273,21.19,23.19,22.09
8874,20.19,22.99,
8904,19.5,,
8904,,21.3,
8909,,22.99,
8909,19.99,,
9140,20.35,22.15,22.2
8739,20.75,21.78,21.05
2496,20.99,,
2496,,,21.99
2496,,22.89,
9051,20.77,22.12,22.08
8688,21.29,21.79,22.29
8826,,19.8,
8826,18.9,,
9186,20.19,23.59,21.85
8775,,22.47,
8775,19.97,,
8670,20.09,23.19,21.49
8809,21.25,22.65,22.33
8976,20.99,22.89,22.19
9228,21.35,,
9228,,22.85,22.35
9052,18.99,19.99,
9052,,,20.99
2226,21.99,21.99,23.04
9214,20.59,22.29,21.35
9121,21.57,,22.6
8631,21.25,,
8631,,22.99,22.99
9180,,18.19,
9180,15.39,,
8743,,18.19,
8743,15.39,,
8810,19.5,21.46,21.1
9268,,18.19,
9268,15.39,,
8735,21.65,,21.8
8735,,22.84,
8749,,18.19,
8749,15.39,,
8926,,18.19,
8926,15.39,,
2532,19.98,,
2532,,,21.27
2532,,22.75,
8919,18.59,,
8919,,20.89,
9025,21.57,22.85,22.6
8575,19.69,22.99,19.69
8773,19.78,21.5,21.3
8613,,,21.19
8613,14.62,,
8666,21.85,,
8666,,,
8970,18.99,22.89,
8611,18.35,20.45,
8994,21.85,,
8994,,23.1,
8789,18.67,,
8789,,20.89,
2516,15.95,,
2516,,18.17,
2516,,,20.09
8790,21.67,22.99,22.78
9128,20.65,22.55,22.25
8657,19.8,21.45,
9029,19.19,20.99,
8563,19.99,21.91,21.28
8582,20.9,,
8582,,23.1,
9066,,22.99,
9066,20.99,,
8729,18.61,20.82,19.72
8764,,,
8764,,,
9163,21.04,,
9163,,,22.64
9163,,22.75,
2234,21.99,21.99,23.04
11191,21.35,,22.89
2195,20.76,22.47,22.26
2511,21.58,,
2511,,23.13,23.09
2209,,,22.03
2209,,22.59,
2209,20.79,,
2309,19.99,,
2309,,22.99,
2470,19.99,,
2470,,22.45,
8382,20.19,21.99,21.55
8270,19.88,22.29,21.46
7742,21.85,23.2,
7876,16.06,,
7575,19.9,,20.8
8303,15.34,,
7799,,,22.15
7799,21.1,,
2403,20.55,,
2403,,22.15,22.25
8148,20.35,21.88,21.89
8304,19.83,21.35,21.45
7961,17.09,20.29,
7920,,,22.2
7906,21.89,,22.79
8244,17.09,20.29,19.99
7584,20.5,,22.4
7838,20.99,,
7838,,,21.85
8086,19.9,21.6,20.99
7746,,,20.95
7746,19.75,,
7746,,22.19,
2164,20.19,,
2164,,,20.99
2164,,22.99,
7955,,20.79,
7955,18.89,,
8462,,20.49,
8462,18.57,,20.39
7702,,20.79,20.89
7702,18.89,,
8357,20.79,,21.79
8238,19.79,21.79,20.99
7843,19.29,21.29,20.99
7548,19.29,21.29,20.99
7941,19.29,21.29,
7515,20.79,22.98,22.89
8017,16.64,19.22,21.69
2412,19.95,,
2412,,21.95,
7573,20.39,22.79,21.89
8448,20.35,,21.3
7626,20.19,,21.65
8016,20.39,22.79,21.89
8257,20.39,22.79,21.89
8253,20.08,22.37,21.37
7959,21.06,22.56,22.46
7694,19.59,,
7694,,21.79,
7694,,,21.59
8365,20.5,22.87,
8195,,22.85,
8195,21.35,,
8195,,,22.81
2156,19.89,22.09,
7783,19.79,22.19,
8116,19.79,22.19,
7556,18.99,21.39,20.89
8130,,22.29,
8130,20.79,,
8130,,,22.25
7990,19.79,22.19,
7657,21.69,22.99,22.15
8139,20.69,,
8139,,22.99,
8139,,,21.99
8103,16.53,,
8103,,19.13,
8046,20.19,21.99,21.55
7697,21.04,,22.64
2251,18.95,20.95,20.75
8123,21.35,,
8123,,22.99,
7816,19.99,22.05,21.32
7760,21.09,23.19,21.99
8277,,,
8277,,,
8369,,,20.39
8369,18.69,20.49,
7733,,,20.7
7733,19.99,,
7733,,22.15,
8354,,,20.39
8354,,20.49,
8354,18.69,,
7834,,21.39,
7834,18.99,,
8510,20.5,,22.2
7826,15.35,,19.99
2154,20.89,,
2154,,22.45,
2154,,,22.55
7642,,21.39,
7642,18.99,,
7642,,,20.79
7890,19.9,21.82,21.59
8095,18.64,20.49,20.39
8233,21.09,23.19,21.99
8403,19.35,21.15,21.1
8166,20.39,,21.19
8058,19.35,21.15,
7895,22.3,23.5,23.69
8550,19.35,21.15,
8159,21.39,,
8159,,,21.59
8159,,23.49,
2084,20.05,22.91,21.62
8262,21.75,,
8255,20.72,,21.78
7744,20.72,,21.78
7866,20.49,22.69,21.99
8352,,22.49,21.89
8352,21.09,,
7601,20.99,22.89,21.99
8348,20.99,,22.54
8348,,22.49,
7634,19.89,21.68,
7634,,,21.75
8104,19.9,,
8104,,,
7865,,,22.1
7865,20.99,,
2443,20.55,,
2443,,22.15,22.25
7580,,,20.7
7580,,21.5,
7580,18.9,,
7809,21.19,22.83,
7724,16.49,20.49,21.39
8307,20.5,22.9,21.4
8337,21.8,22.89,22.92
8039,21.46,,
8039,,,22.99
8420,,22.99,
8420,20.99,,
8420,,,16.97
7597,20.79,,
7597,,,22.59
7597,,17.68,
7762,19.49,21.8,20.95
7817,,,21.98
7817,20.99,,
2213,19.19,,
2213,,,19.89
2213,,22.99,
7706,21.99,23.34,
7956,22.11,23.71,23.56
8368,,,21.99
8368,20.89,,
7879,19.69,21.65,21.45
8478,22.11,23.71,23.56
7589,19.99,,
7589,,21.7,
8038,20.29,21.89,21.65
8287,20.15,,21.44
7831,20.3,,
7831,,22.6,
7912,19.5,,20.85
7912,,21.72,
14522,19.69,,
14522,,20.99,
14522,,,19.99
7563,20.62,22.75,21.96
8513,20.19,21.99,21.69
8041,20.69,,21.99
8394,19.5,,20.85
8394,,21.72,
8207,20.16,,
8207,,23.28,
8409,20.96,21.95,22.5
8136,19.45,,20.8
8136,,21.7,
8260,19.89,21.85,21.29
7678,20.99,19.9,21.78
7623,19.45,21.9,21.79
2533,20.65,,
2533,,22.99,
2533,,,21.65
8209,,22.95,
8209,,,21.25
8209,,,
8509,19.75,21.6,21.5
8456,19.1,21.42,21.39
8398,20.09,,
8398,,,22.09
8398,,22.49,
7654,19.98,22.74,20.65
7568,19.99,21.55,21.45
8030,19.9,,22.17
8030,,22.25,
8415,19.99,21.55,21.45
7925,19.25,,
7925,,20.79,
7925,,,
7982,20.9,23.45,22.35
2163,19.45,21.75,20.75
8232,20.19,,21.69
8232,,22.54,
7736,20.65,21.9,21.89
8261,20.38,,21.87
7711,20.3,,21.2
8384,,22.29,
8384,19.99,,
8384,,,21.65
8003,20.5,22.3,21.99
7518,20.19,,21.69
7518,,22.54,
7785,,21.7,21.84
8501,19.46,21.26,21.18
7672,19.95,21.6,21.88
2300,20.29,,
2300,,,21.09
2300,,21.49,
7945,20.65,21.9,21.89
8021,19.99,,
8021,,22.54,
8263,21.65,,
8073,20.45,22.29,22.1
8538,20.78,22.35,21.99
8172,19.98,21.98,21.82
7933,21.79,23.29,22.75
7924,,,20.49
7924,19.29,21.09,
7691,19.99,,
7691,,22.49,
8356,20.49,22.89,21.84
2492,18.49,,
2492,,,20.99
2492,,21.99,
7998,19.89,,
7998,,,21.29
7998,,22.54,
7715,21.41,23.79,22.4
7721,,,21.06
7721,19.9,22.05,
8326,19.17,,
8326,,,20.25
8326,,21.19,
7980,,,
7980,,,20.4
7980,,21.2,
7792,21.23,22.93,22.03
8292,21.75,23.3,22.99
8249,21.99,23.99,21.94
8078,20.99,22.55,22.25
8487,21.99,23.99,21.94
2230,18.99,21.29,
7974,20.59,,22.29
7974,,22.99,
8105,19.33,20.83,20.84
8470,21.94,23.99,
7923,,,18.79
7737,20.34,,
7737,,20.6,
7737,,,21.15
7830,,22.99,
7830,20.99,,21.99
7793,,,21.84
7793,,23.38,
7793,20.99,,
8146,19.99,22.99,
8455,19.88,21.15,
8455,,,21.68
7971,20.55,,
7971,,22.09,21.79
2522,20.29,,
2522,,22.99,
2522,,,20.69
7873,19.49,21.95,20.98
7884,20.21,22.54,
8112,21.04,,
8112,,22.75,
7531,21.38,22.75,21.99
8314,19.84,21.15,
7545,21.05,22.75,22.65
8049,20.84,22.41,22.81
7953,20.89,22.42,22.6
7588,19.79,,
7588,,,21.1
7588,,21.99,
8321,16.89,,
8321,,,20.99
2421,19.94,21.64,21.7
8269,21.05,22.75,22.65
8091,16.89,,
8091,,18.99,
8091,,,20.99
7844,20.33,,
7844,,22.57,21.55
8208,16.89,,
8208,,,20.99
7791,,22.98,22.28
7791,21.99,,
8167,16.89,,
8546,19.99,22.59,
8546,,,19.99
8335,20.99,22.49,
8042,20.05,,21.6
7770,21.53,,
7770,,,22.96
7770,,23.21,
2135,,22.79,
