id_estacion,nombre,latitud,longitud
2157,gasolineria mexico  ajusco 1 sa de cv,19.2289,-99.19692
2158,grupo octano sa de cv,20.65418,-105.2224
2159,grupo octano sa de cv,20.20225,-101.1592
2160,grupo empresarial cachanilla sa de cv,32.47077,-114.7834
2161,petromax sa de cv,25.38848,-100.9898
2162,petromax sa de cv,25.55805,-103.4574
2163,estacion de servicio tezontepec sa de cv,20.19257,-99.26816
2164,estacion rael s de rl de cv,32.48362,-116.9314
2165,estacion de servicio cordoba sa de cv,18.91205,-99.20078
2166,becktrop operadora sa de cv,32.51695,-117.0217
2167,grupo empresarial cachanilla sa de cv,32.60439,-115.4283
2168,grupo gocalvi sa de cv,31.77218,-106.5244
2169,grupo octano sa de cv,20.64037,-103.4172
2170,grupo octano sa de cv,19.78714,-101.0983
2171,grupo gocalvi sa de cv,31.72176,-106.4938
2172,servicio gencar sa de cv,18.64528,-91.8837
2173,grupo empresarial cachanilla sa de cv,32.55959,-115.3589
2174,grupo empresarial cachanilla sa de cv,32.56762,-115.3366
2175,petromax sa de cv,25.59786,-103.4968
2176,petromax sa de cv,19.47735,-99.23218
2177,petromax sa de cv,25.73397,-100.174
2178,petromax sa de cv,25.76927,-100.273
2179,gas sanfer s de rl de cv,19.24986,-103.719
2180,combuexpress sa de cv,21.49188,-104.8626
2181,petromax sa de cv,25.78579,-100.1586
2182,servicio jacarandas sa de cv,19.61462,-99.0181
2183,petromax sa de cv,26.08213,-98.29991
2184,grupo octano sa de cv,20.69032,-105.2258
2185,multiservicios la pilarica sa de cv ,25.74504,-109.0079
2186,estacion de servicio marbella sa de cv,19.54896,-99.07384
2187,petromax sa de cv,26.06836,-98.33501
2188,gasolineria ulises sa de cv,19.62737,-99.2403
2189,ary super servicios vi sa de cv,25.59699,-103.3994
2190,petromax sa de cv,19.54947,-99.05198
2191,estacion de servicio cuenca sa de cv ,22.254,-97.85314
2192,estacion de servicio leon sderl de cv,21.15335,-101.6542
2193,dalrom sa de cv,21.87411,-102.2435
2194,petromax sa de cv,25.79039,-100.261
2195,combustibles arcotete sa de cv,16.73734,-92.60492
2196,estacion de servicio la rioja sa de cv,19.82526,-99.08937
2197,servicio el toreo de saltillo sa de cv,25.44261,-100.9147
2198,petromax sa de cv,25.67927,-100.4822
2199,servicio sierra de arteaga sa de cv,25.44026,-100.8774
2200,diaz gas sa de cv,31.7462,-106.4253
2201,petromax sa de cv,25.70878,-100.1629
2202,estacion talleres sa de cv,21.15601,-86.88126
2203,petromax sa de cv,25.71314,-100.3628
2204,petromax sa de cv,25.66576,-100.2664
2205,grupo lonor sa de cv  e11919,15.8336,-91.96599
2206,estacion de servicio leon sderl de cv,21.07652,-101.6518
2207,grupo octano sa de cv,19.80471,-104.2044
2208,grupo octano sa de cv,21.49595,-104.883
2209,gasolineras paba sa de cv ,24.12212,-110.2945
2210,servicio gasol sa de cv,25.55813,-103.3947
2211,petromax sa de cv,26.02191,-98.23244
2212,becktrop operadora sa de cv,32.5229,-117.0261
2213,estacion ambar s de rl de cv,32.49483,-116.924
